"","APMC","Commodity","Year","V1"
"4655","Kalamb (Os)","Maize",2016,0.107826331839708
"4656","Barshi-Vairag","Maize",2016,0.107824342585233
"4657","Jamkhed","Green Gram",2016,0.107810002512747
"4658","Umarga","Sorgum(Jawar)",2016,0.107719778969346
"4659","Ausa","Sunflower",2016,0.107718586830561
"4660","Ambad(Vadi Godri)","Maize",2015,0.107659513810588
"4661","Buldhana-Dhad","Maize",2016,0.107646186937531
"4662","Mantha","Green Gram",2016,0.107629503024951
"4663","Amarawati","Grapes",2016,0.107591221901747
"4664","Ghansawangi","Bajri",2015,0.107536903176389
"4665","Devala","Sorgum(Jawar)",2014,0.107531640625451
"4666","Chandur Rly.","Green Gram",2015,0.107521927209094
"4667","Satana","Green Gram",2015,0.107513866462317
"4668","Kalvan","Pigeon Pea (Tur)",2015,0.107501829281398
"4669","Kalamnuri","Gram",2015,0.107440740153665
"4670","Washim","Paddy-Unhusked",2015,0.10732949148279
"4671","Murtizapur","Green Gram",2016,0.107322475872513
"4672","Jalgaon","Pigeon Pea (Tur)",2014,0.107295182769753
"4673","Ratanagari","Spinach",2015,0.107264105965907
"4674","Jintur","Turmeric",2015,0.10722589098535
"4675","Tuljapur","Bajri",2016,0.107162245990222
"4676","Ausa","Green Gram",2015,0.107080526374552
"4677","Shrirampur","Green Gram",2015,0.106974705624914
"4678","Tuljapur","Sorgum(Jawar)",2014,0.106972914527907
"4679","Nandura","Green Gram",2016,0.106962500612102
"4680","Akot","Thymol/Lovage",2016,0.106952501698584
"4681","Washim","Black Gram",2014,0.106844964222651
"4682","Mangalwedha","Onion",2016,0.106829082049766
"4683","Ahmedpur","Maize",2015,0.106789979168022
"4684","Mangalwedha","Maize",2016,0.106754132219711
"4685","Lasalgaon","Ground Nut Pods (Dry)",2016,0.106690435410703
"4686","Kalyan","Jaggery",2016,0.106614930971188
"4687","Pathari","Soybean",2014,0.106580599568727
"4688","Ahmedpur","Castor Seed",2015,0.106550336891124
"4689","Nashik","Cluster Bean",2016,0.106541441660531
"4690","Pune","Black Gram",2014,0.106502955447303
"4691","Jalgaon","Mango",2016,0.106450050582592
"4692","Indapur (Nimgaon Ketki)","Ground Nut Pods (Dry)",2016,0.10641348979773
"4693","Amalner","Soybean",2015,0.106391477313346
"4694","Akole","Gram",2016,0.106352571576326
"4695","Barshi","Wheat(Unhusked)",2015,0.106345220102444
"4696","Digras","Sesamum",2015,0.106228610436686
"4697","Parli-Vaijnath","Sunflower",2015,0.10620013492072
"4698","Nandurbar","Shepa",2016,0.106133474895076
"4699","Dudhani","Green Gram",2014,0.106114776943259
"4700","Majalgaon","Bajri",2016,0.106085546304871
"4701","Jafrabad","Gram",2016,0.106078392245579
"4702","Barshi-Vairag","Maize",2015,0.106057473712456
"4703","Junnar (Alephata)","Pomegranate",2016,0.106033795059453
"4704","Kej","Wheat(Husked)",2014,0.105913287851253
"4705","Vasai","Potato",2016,0.105853261795873
"4706","Chopda","Pigeon Pea (Tur)",2016,0.105838926193923
"4707","Umarga","Sorgum(Jawar)",2015,0.105814481381137
"4708","Nanded","Turmeric",2016,0.105782484544722
"4709","Mantha","Green Gram",2015,0.105762100241638
"4710","Junnar (Alephata)","Onion",2015,0.105754365755279
"4711","Shirpur","Sorgum(Jawar)",2015,0.105739901459495
"4712","Khamgaon","Lemon",2016,0.105663691834472
"4713","Kamthi","Mosambi",2015,0.105624555757164
"4714","Aurangabad","Chikoo",2014,0.105620846637538
"4715","Murum","Wheat(Husked)",2016,0.105612197718594
"4716","Koregaon","Sorgum(Jawar)",2014,0.105590349234811
"4717","Kannad","Green Gram",2014,0.105566243434149
"4718","Kamthi","Squash Gourd",2015,0.105538325550231
"4719","Umared","Lang",2015,0.105503098070259
"4720","Manchar","Wal Papdi",2015,0.105381181348196
"4721","Barshi","Bajri",2016,0.105303962820521
"4722","Lasur Station","Green Gram",2016,0.105288604322404
"4723","Deglur","Green Gram",2014,0.105255942131812
"4724","Naigaon","Sorgum(Jawar)",2015,0.105225028726585
"4725","Bhandara","Gram",2015,0.105177887091315
"4726","Digras","Gram",2015,0.104949044091874
"4727","Tumsar","Paddy-Unhusked",2014,0.104862659472929
"4728","Sangli-Miraj","Maize",2016,0.104856717501095
"4729","Kamthi","Parwar",2014,0.104840914643444
"4730","Chandrapur-Ganjwad","Small Gourd",2014,0.104820149232784
"4731","Rahata","Pomegranate",2016,0.104809938355845
"4732","Ramtek","Cluster Bean",2016,0.104807971090491
"4733","Jalgaon Jamod","Gram",2015,0.104793425738929
"4734","Hingoli","Green Gram",2014,0.104787996208161
"4735","Rahata","Pigeon Pea (Tur)",2016,0.1047451360556
"4736","Mangalwedha","Sorgum(Jawar)",2015,0.104735403497073
"4737","Ahmedpur","Green Gram",2015,0.104698197974211
"4738","Pune","Gr.Nut Kernels",2015,0.104696351303001
"4739","Tuljapur","Maize",2014,0.104638475450015
"4740","Mul","Paddy-Unhusked",2014,0.104476744576048
"4741","Malegaon","Sorgum(Jawar)",2014,0.104415192105236
"4742","Kolhapur-Laxmipuri","Cowpea",2015,0.104374516971666
"4743","Beed","Gram",2015,0.104370725827065
"4744","Wardha","Soybean",2016,0.104351601658377
"4745","Ramtek","Rice(Paddy-Hus)",2015,0.10433927564443
"4746","Armori-Desaiganj","Chillies(Red)",2016,0.104323765143182
